Rank,ISSN,Journal Title,Medline %,FreeFull %,ORCID %,Total,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,API_Ref
1,2045-2322,Sci Rep,0.22,0.99,0.11,15988,3570,3620,4280,4518,,,,,,,,,A2:S2
2,2168-8184,Cureus,0.00,0.97,0.00,7937,2239,1940,2060,1698,,,,,,,,,A3:S3
3,1932-6203,PLoS One,0.90,0.99,0.91,5946,1296,1525,1610,1515,,,,,,,,,A4:S4
4,2692-8205,bioRxiv,0.00,0.94,0.85,4897,861,1806,685,1545,,,,,,,,,A5:S5
5,2041-1723,Nat Commun,0.36,0.99,0.99,4558,1050,1077,1225,1206,,,,,,,,,A6:S6
6,1422-0067,Int J Mol Sci,0.98,1.00,0.93,3343,1128,957,836,422,,,,,,,,,A7:S7
7,1664-3224,Front Immunol,0.91,0.98,0.00,2880,584,736,840,720,,,,,,,,,A8:S8
8,2077-0383,J Clin Med,0.00,1.00,0.96,2808,915,761,790,342,,,,,,,,,A9:S9
9,2296-858X,Front Med (Lausanne),0.00,0.96,0.00,2361,510,558,632,661,,,,,,,,,A10:S10
10,2470-1343,ACS Omega,0.00,0.96,0.98,2294,697,580,604,413,,,,,,,,,A11:S11
11,1424-8220,Sensors (Basel),0.28,1.00,0.87,2284,753,649,609,273,,,,,,,,,A12:S12
12,2296-2565,Front Public Health,0.92,0.96,0.00,2162,506,477,535,644,,,,,,,,,A13:S13
13,1664-1078,Front Psychol,0.00,0.96,0.00,2051,440,426,581,604,,,,,,,,,A14:S14
14,1879-0003,Int J Biol Macromol,0.93,0.10,0.00,2030,535,458,522,515,,,,,,,,,A15:S15
15,1944-8252,ACS Appl Mater Interfaces,0.24,0.13,1.00,1908,520,424,472,492,,,,,,,,,A16:S16
16,2198-3844,Adv Sci (Weinh),0.30,0.45,0.96,1856,580,440,435,401,,,,,,,,,A17:S17
17,2234-943X,Front Oncol,0.00,0.98,0.00,1784,384,427,513,460,,,,,,,,,A18:S18
18,1536-5964,Medicine (Baltimore),1.00,1.00,0.94,1662,601,520,319,222,,,,,,,,,A19:S19
19,1520-5126,J Am Chem Soc,0.23,0.26,1.00,1662,383,419,451,409,,,,,,,,,A20:S20
20,1091-6490,Proc Natl Acad Sci U S A,0.70,0.46,0.93,1641,387,353,485,416,,,,,,,,,A21:S21
21,2046-2069,RSC Adv,0.00,0.98,0.97,1543,420,343,420,360,,,,,,,,,A22:S22
22,1873-7072,Food Chem,0.82,0.12,0.00,1533,399,398,400,336,,,,,,,,,A23:S23
23,1476-4687,Nature,0.14,0.15,0.42,1511,371,367,378,395,,,,,,,,,A24:S24
24,1996-1944,Materials (Basel),0.00,1.00,0.84,1480,445,382,448,205,,,,,,,,,A25:S25
25,1471-2458,BMC Public Health,0.18,0.99,0.22,1458,339,356,373,390,,,,,,,,,A26:S26
26,2589-0042,iScience,0.00,1.00,0.00,1392,367,319,368,338,,,,,,,,,A27:S27
27,1613-6829,Small,0.13,0.11,0.96,1361,465,309,280,307,,,,,,,,,A28:S28
28,1521-3773,Angew Chem Int Ed Engl,0.11,0.16,0.96,1335,305,322,313,395,,,,,,,,,A29:S29
29,2044-6055,BMJ Open,0.99,0.99,0.99,1303,305,357,353,288,,,,,,,,,A30:S30
30,1095-8630,J Environ Manage,0.98,0.20,0.00,1298,287,350,374,287,,,,,,,,,A31:S31
31,1664-462X,Front Plant Sci,0.00,0.97,0.00,1286,207,383,369,327,,,,,,,,,A32:S32
32,2304-8158,Foods,0.00,1.00,0.88,1270,408,386,319,157,,,,,,,,,A33:S33
33,1873-3336,J Hazard Mater,0.67,0.13,0.00,1249,336,329,268,316,,,,,,,,,A34:S34
34,1664-302X,Front Microbiol,0.00,0.96,0.00,1231,241,342,320,328,,,,,,,,,A35:S35
35,1420-3049,Molecules,0.69,1.00,0.92,1229,391,362,308,168,,,,,,,,,A36:S36
36,2072-6694,Cancers (Basel),0.00,1.00,0.96,1182,345,368,330,139,,,,,,,,,A37:S37
37,1520-6882,Anal Chem,0.71,0.17,0.99,1176,295,264,306,311,,,,,,,,,A38:S38
38,2072-6643,Nutrients,0.99,1.00,0.97,1168,368,342,306,152,,,,,,,,,A39:S39
39,1663-9812,Front Pharmacol,0.00,0.96,0.00,1166,278,271,282,335,,,,,,,,,A40:S40
40,2223-7747,Plants (Basel),0.00,1.00,0.89,1137,340,330,317,150,,,,,,,,,A41:S41
41,2076-2615,Animals (Basel),0.00,0.97,0.94,1128,352,342,301,133,,,,,,,,,A42:S42
42,1521-4095,Adv Mater,0.15,0.14,0.96,1123,326,298,269,230,,,,,,,,,A43:S43
43,2075-4418,Diagnostics (Basel),0.00,0.83,0.97,1112,367,277,314,154,,,,,,,,,A44:S44
44,1364-548X,Chem Commun (Camb),0.15,0.03,0.99,1047,281,243,249,274,,,,,,,,,A45:S45
45,2296-861X,Front Nutr,0.00,0.97,0.00,1032,231,264,271,266,,,,,,,,,A46:S46
46,1520-5851,Environ Sci Technol,0.91,0.21,1.00,1024,247,269,262,246,,,,,,,,,A47:S47
47,1079-7114,Phys Rev Lett,0.01,0.01,0.00,1023,294,153,348,228,,,,,,,,,A48:S48
48,2375-2548,Sci Adv,0.60,1.00,0.97,1005,287,223,232,263,,,,,,,,,A49:S49
49,1664-2392,Front Endocrinol (Lausanne),0.90,0.98,0.00,975,199,241,291,244,,,,,,,,,A50:S50
50,1873-7145,Food Res Int,0.97,0.13,0.00,975,304,297,245,129,,,,,,,,,A51:S51
51,2574-3805,JAMA Netw Open,0.62,0.99,0.00,973,219,274,243,237,,,,,,,,,A52:S52
